source,title,description,url,publishedAt,published_at
"{'id': None, 'name': 'CNBC'}",Stock futures are little changed after Thursday’s sell-off on Wall Street: Live updates - CNBC,Thursday's retreat from recent highs sharply narrowed the S&P 500's weekly gain.,https://www.cnbc.com/2025/02/20/stock-market-today-live-updates.html,2025-02-21T00:22:00Z,
"{'id': None, 'name': 'BBC News'}","Body returned from Gaza is not Bibas mother, Israeli military says - BBC.com","The Israeli military says a body returned by Hamas is not hostage Shiri Bibas, as claimed by Hamas.",https://www.bbc.com/news/articles/cjry3jzedl1o,2025-02-21T00:02:03Z,
"{'id': None, 'name': 'WESH Orlando'}",IRS employees in Florida speak out after sudden terminations - WESH 2 Orlando,"In Florida, we've confirmed with a union president that probationary employees are being terminated.",https://www.wesh.com/article/irs-employees-terminations-florida/63857515,2025-02-21T00:00:00Z,
"{'id': 'cnn', 'name': 'CNN'}","Hegseth could fire some senior generals and admirals soon, sources say - CNN","Secretary of Defense Pete Hegseth could soon move to fire more than half a dozen generals and flag officers, according to two sources familiar with the matter, part of an effort to purge the department of senior leaders perceived as either too political or to…",https://www.cnn.com/2025/02/20/politics/hegseth-could-fire-senior-generals-admirals/index.html,2025-02-20T23:44:00Z,
"{'id': 'cnn', 'name': 'CNN'}","Delta Air Lines offers $30,000 for each passenger on the flight that crashed in Toronto - CNN","Delta Air Lines is offering passengers who were on the flight that crashed and overturned at Toronto Pearson International Airport $30,000 each.",https://www.cnn.com/2025/02/20/business/delta-toronto-crash-payout-offer/index.html,2025-02-20T23:38:00Z,
"{'id': 'abc-news', 'name': 'ABC News'}",3 buses explode in suspected terror attack near Tel Aviv: Israeli police - ABC News,,https://abcnews.go.com/International/israeli-police-responding-reports-explosions-buses-tel-aviv/story?id\\u003d119016099,2025-02-20T23:07:37Z,
"{'id': None, 'name': 'Hollywood Reporter'}",Daniel Craig Responds to Amazon MGM Taking Control of James Bond Franchise - Hollywood Reporter,The studio will form a new joint venture with producers Michael G. Wilson and Barbara Broccoli to house the series' intellectual property rights.,http://www.hollywoodreporter.com/movies/movie-news/james-bond-daniel-craig-amazon-mgm-1236142286/,2025-02-20T22:57:38Z,
"{'id': None, 'name': 'AL.com'}",All Hanceville police officers placed on leave as Cullman sheriff takes over patrols - AL.com,"Beginning at 5 p.m., deputies answer all law enforcement calls in the city of roughly 3,300 people.",https://www.al.com/crime/2025/02/all-hanceville-police-officers-placed-on-leave-as-cullman-sheriff-takes-over-patrols.html,2025-02-20T22:36:00Z,
"{'id': None, 'name': 'NBCSports.com'}",Zack Martin has told the Cowboys he plans to retire - NBC Sports,The seven-time first-team All-Pro has decided to call it a career at age 34.,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/zack-martin-has-told-the-cowboys-he-plans-to-retire,2025-02-20T22:27:26Z,
"{'id': 'the-washington-post', 'name': 'The Washington Post'}",Odds of recently discovered asteroid hitting Earth drop nearly to zero - The Washington Post,Another night of observations revealed there is little to fear from the football-field-sized Asteroid 2024 YR4.,https://www.washingtonpost.com/science/2025/02/20/asteroid-2024-yr4-odds-hitting-earth-near-zero/,2025-02-20T22:08:34Z,
"{'id': 'associated-press', 'name': 'Associated Press'}",Trump administration throws out protections from deportation for roughly half a million Haitians - The Associated Press,The Trump administration is throwing out protections for roughly half a million Haitians that had shielded them from deportation. The decision announced Thursday means they would lose their work permits and could be eligible to be removed from the country by …,https://apnews.com/article/haiti-trump-homeland-security-temporary-status-immigration-8fafbf744d0cdbeffb58be73fb0a8879,2025-02-20T21:29:00Z,
"{'id': None, 'name': 'SpaceNews'}",Musk calls for deorbiting ISS “as soon as possible” - SpaceNews,"SpaceX Chief Executive Elon Musk said that NASA should deorbit the International Space Station “as soon as possible,” preferably in the next two years.",http://spacenews.com/musk-calls-for-deorbiting-iss-as-soon-as-possible/,2025-02-20T21:26:32Z,
"{'id': 'associated-press', 'name': 'Associated Press'}","Victor Wembanyama expected to miss remainder of season after blood clot diagnosis, Spurs announce - The Associated Press","San Antonio star Victor Wembanyama is expected to miss the remainder of the regular season after being diagnosed with a blood clot in his right shoulder, the Spurs announced Thursday. It is a massive blow to the Spurs, who are contending for a playoff spot in…",https://apnews.com/article/victor-wembanyama-spurs-blood-clots-4f4a563b7217373e2b5fac0afaececa0,2025-02-20T20:48:00Z,
"{'id': 'bloomberg', 'name': 'Bloomberg'}","Bird Flu Kills Dairy Workers’ Cats, Suggesting a Viral Change - Bloomberg","Two house cats died after contracting bird flu in the homes of dairy workers, a troubling sign that the virus may be moving between species and becoming more widespread.",https://www.bloomberg.com/news/articles/2025-02-20/bird-flu-kills-dairy-workers-cats-suggesting-a-viral-change,2025-02-20T20:47:21Z,
"{'id': 'politico', 'name': 'Politico'}",Senate stares down an all-nighter to approve a ‘Plan B’ budget Trump spurned - POLITICO,"The Senate could be voting on amendments to a nonbinding, but highly consequential, budget resolution well into the early morning hours.",https://www.politico.com/live-updates/2025/02/20/congress/senate-vote-a-rama-budget-begins-00205258,2025-02-20T20:11:09Z,
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Exclusive: Stalkerware apps Cocospy and Spyic are exposing phone data of millions of people - TechCrunch,A bug in the Android and iPhone monitoring operations allows anyone to access private data exfiltrated from a victim's device.,https://techcrunch.com/2025/02/20/stalkerware-apps-cocospy-spyic-exposing-phone-data-of-millions-of-people/,2025-02-20T20:05:00Z,
"{'id': 'abc-news', 'name': 'ABC News'}",Kash Patel confirmed by Senate to be Trump's FBI director - ABC News,,https://abcnews.go.com/Politics/senate-vote-kash-patels-nomination-lead-fbi/story?id\\u003d118929545,2025-02-20T19:30:00Z,
"{'id': 'fox-news', 'name': 'Fox News'}","Fearing Trump will cross border militarily to pursue cartels, Mexico moves to reform constitution - Fox News",Mexico President Claudia Sheinbaum said she will propose constitutional reforms aimed at protecting the country’s sovereignty over concerns that the U.S. military could pursue drug cartels inside Mexico.,https://www.foxnews.com/world/fearing-trump-cross-border-militarily-pursue-cartels-mexico-moves-reform-constitution,2025-02-20T18:56:00Z,
"{'id': None, 'name': 'Variety'}",Blake Lively’s Publicist Says She Didn’t Defame Justin Baldoni When She Wrote ‘The Whole Cast Hates Him’ - Variety,"Blake Lively's publicist, Leslie Sloane, argued it was not defamatory to say that the whole cast of ""It Ends With Us"" hated director Justin Baldoni.",https://variety.com/2025/film/news/blake-lively-justin-baldoni-cast-hates-him-defamation-lawsuit-1236314273/,2025-02-20T18:51:00Z,
winklertimes,US offers UN resolution on war in Ukraine that stops far short of competing European statement,"UNITED NATIONS (AP) &#8212; The United States has proposed a draft U.N. resolution that stops far short of a competing European-backed statement demanding an immediate withdrawal of all of Moscow&#8217;s forces from Ukraine. Both are timed to the third anniversary of Russia&#8217;s invasion of Ukraine, which falls on Monday, when the U.N. General Assembly will [&#8230;]",https://winnipegsun.com/pmn/us-offers-un-resolution-on-war-in-ukraine-that-stops-far-short-of-competing-european-statement,,2025-02-22T01:31:49+00:00
lulegacy,Advance Auto Parts (NYSE:AAP) Trading Down 4.8% - Should You Sell?,Advance Auto Parts (NYSE:AAP) Shares Down 4.8% - Here's Why,https://www.marketbeat.com/instant-alerts/advance-auto-parts-nyseaap-trading-down-48-whats-next-2025-02-20/,,2025-02-22T01:31:39+00:00
lulegacy,Moderna (NASDAQ:MRNA) Trading 8.8% Higher - What's Next?,Moderna (NASDAQ:MRNA) Trading Up 8.8% - What's Next?,https://www.marketbeat.com/instant-alerts/moderna-nasdaqmrna-stock-price-up-88-still-a-buy-2025-02-20/,,2025-02-22T01:31:26+00:00
lulegacy,Ferrexpo (LON:FXPO) Shares Down 30.4% - Time to Sell?,Ferrexpo (LON:FXPO) Stock Price Down 30.4% - Here's Why,https://www.marketbeat.com/instant-alerts/ferrexpo-lonfxpo-shares-down-304-time-to-sell-2025-02-20/,,2025-02-22T01:31:19+00:00
wishtv,"Judge largely blocks Trump’s orders on diversity, equity and inclusion","A federal judge has granted a preliminary injunction blocking President Trump's executive orders that aimed to end government support for diversity, equity, and inclusion programs. A lawsuit called the order a constitutional violation with a chilling effect on free speech.",https://www.wishtv.com/news/politics/trump-blocked-dei-executive-orders/,,2025-02-22T01:31:18+00:00
lulegacy,Ceres Power (LON:CWR) Trading Down 38.5% - Here's What Happened,Ceres Power (LON:CWR) Shares Down 38.5% - Here's Why,https://www.marketbeat.com/instant-alerts/ceres-power-loncwr-trading-down-385-heres-what-happened-2025-02-20/,,2025-02-22T01:31:17+00:00
lulegacy,Ithaca Energy (LON:ITH) Trading 9.3% Higher - What's Next?,Ithaca Energy (LON:ITH) Trading 9.3% Higher - Here's What Happened,https://www.marketbeat.com/instant-alerts/ithaca-energy-lonith-trading-93-higher-whats-next-2025-02-20/,,2025-02-22T01:31:14+00:00
santacruzsentinel,Commentary | Amy Goodman & Denis Moynihan: Dark shadows of fascism over Germany and the US,"By Amy Goodman & Denis Moynihan “Nothing is more dishonorable for a civilized people than to let itself be ‘governed’ without resistance by an irresponsible clique of rulers devoted to dark instincts.” These words open the first communiqué of the White Rose, a collective of young Germans in Munich, including brother and sister Hans and [&#8230;]",https://www.santacruzsentinel.com/2025/02/21/commentary-amy-goodman-denis-moynihan-dark-shadows-of-fascism-over-germany-and-the-us/,,2025-02-22T01:31:05+00:00
awfulannouncing,Baltimore reporters argue on X over coverage of Justin Tucker allegations,"A pair of Baltimore reporters, Justin Fenton of The Baltimore Banner and Brian Wacker of The Baltimore Sun are at odds over the reporting of the sexual misconduct allegations leveled against Baltimore Ravens kicker Justin Tucker. Fenton took issue with an article by Wacker, which The Sun shared on its official X (formerly Twitter) account. &#8220;This is intentionally Read more...The post Baltimore reporters argue on X over coverage of Justin Tucker allegations appeared first on Awful Announcing.",https://awfulannouncing.com/newspapers/baltimore-sun-banner-justin-tucker-allegations-reporting.html,,2025-02-22T01:30:15+00:00
